CPUID:,0x600F20
Processor:,AMD FX-8320 Eight-Core (Vishera) 
Platform:,Socket AM3+ (942 pin)
Revision:,OR-C0
Lithography:,32nm

Session start:,12:57:07 - November 13 - 2021

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),Core 6 Temp. (°),Core 7 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 6,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 7,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),
13:04:07 11/13/21,16,16,16,16,16,16,16,16,,,11,31,14,1516.67,,11,31,23,1516.67,,11,31,9,1516.67,,11,31,8,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,
13:04:24 11/13/21,18,18,18,18,18,18,18,18,,,11,31,18,3141.68,,11,31,21,3141.68,,11,31,15,3141.68,,11,31,14,3141.68,,11,31,3,3141.68,,11,31,1,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:04:27 11/13/21,19,19,19,19,19,19,19,19,,,11,31,21,1516.67,,11,31,18,1516.67,,11,31,27,3141.68,,11,31,27,3141.68,,11,31,6,3141.68,,11,31,6,3141.68,,11,31,0,3141.68,,11,31,0,3141.68,
13:04:37 11/13/21,16,16,16,16,16,16,16,16,,,11,31,14,1516.67,,11,31,22,1516.67,,11,31,17,1516.67,,11,31,13,1516.67,,11,31,0,1516.67,,11,31,0,1516.67,,11,31,1,1516.67,,11,31,1,1516.67,
13:04:53 11/13/21,23,23,23,23,23,23,23,23,,,11,31,36,3141.76,,11,31,28,3141.76,,11,31,58,3141.76,,11,31,33,3141.76,,11,31,12,3141.76,,11,31,6,3141.76,,11,31,11,3141.76,,11,31,0,3141.76,
13:05:03 11/13/21,21,21,21,21,21,21,21,21,,,11,31,22,1516.71,,11,31,18,1516.71,,11,31,16,1516.71,,11,31,35,1516.71,,11,31,12,1516.71,,11,31,6,1516.71,,11,31,1,1516.71,,11,31,12,1516.71,
13:05:13 11/13/21,18,18,18,18,18,18,18,18,,,11,31,28,3141.76,,11,31,20,3141.76,,11,31,28,3141.76,,11,31,13,3141.76,,11,31,5,3141.76,,11,31,3,3141.76,,11,31,0,3141.76,,11,31,2,3141.76,
13:05:23 11/13/21,22,22,22,22,22,22,22,22,,,11,31,37,3141.76,,11,31,45,3141.76,,11,31,46,3141.76,,11,31,19,3141.76,,11,31,30,3141.76,,11,31,5,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:05:33 11/13/21,25,25,25,25,25,25,25,25,,,11,31,33,3141.76,,11,31,55,3141.76,,11,31,41,3141.76,,11,31,30,3141.76,,11,31,25,3141.76,,11,31,41,3141.76,,11,31,16,3141.76,,11,31,0,3141.76,
13:05:43 11/13/21,25,25,25,25,25,25,25,25,,,11,31,36,3141.76,,11,31,37,3141.76,,11,31,44,3141.76,,11,31,28,3141.76,,11,31,6,3141.76,,11,31,20,3141.76,,11,31,1,3141.76,,11,31,1,3141.76,
13:05:53 11/13/21,29,29,29,29,29,29,29,29,,,11,31,61,3141.76,,11,31,51,3141.76,,11,31,62,3141.76,,11,31,71,3141.76,,11,31,52,3141.76,,11,31,47,3141.76,,11,31,28,3141.76,,11,31,28,3141.76,
13:06:03 11/13/21,26,26,26,26,26,26,26,26,,,11,31,36,3141.76,,11,31,32,3141.76,,11,31,34,3141.76,,11,31,75,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
13:06:13 11/13/21,26,26,26,26,26,26,26,26,,,11,31,26,3141.76,,11,31,41,3141.76,,11,31,58,3141.76,,11,31,28,3141.76,,11,31,4,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,,11,31,1,3141.76,
13:06:23 11/13/21,26,26,26,26,26,26,26,26,,,11,31,44,3141.76,,11,31,34,3141.76,,11,31,18,3141.76,,11,31,31,3141.76,,11,31,24,3141.76,,11,31,6,3141.76,,11,31,0,3141.76,,11,31,0,3141.76,
